#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-14T17:12:51 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-14T17:12:51	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.all=2&-order=I&-out.src=VII/192/arpord,VII/192/arplist&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-x.rs=10&-source=VII/192/arpord VII/192/arplist&-out=Arp&-out=Name&-out=RAJ2000&-out=DEJ2000&-out=Size&-out=Orient&-out=fl_245&-out=fl_ST6&-out=fl_ST5&-out=APG&-out=Simbad&-out=NED&-out=VT&-out=u_VT&-out=dim1&-out=dim2&-out=u_dim2&-out=MType&-out=Uchart&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_7192
#Name: VII/192
#Title: Arp's Peculiar Galaxies (Webb 1996)
#INFO	ivoid=ivo://cds.vizier/vii/192	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/192	    IVOID of underlying data collection
#INFO	creator=Webb D.	    First author or institution
#INFO	cites=bibcode:1996S&T....92...92W	    Article or Data origin sources
#INFO	journal=S&T	    Journal name
#INFO	original_date=1996	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/192	    Dataset landing page
#INFO	publication_date=2017-10-16	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	VII_192_arpord:
#Name: VII/192/arpord
#Title: list of Arp views with imaging data
#Column	Arp	(I3)	Arp number from original catalog	[ucd=meta.id;meta.main]
#Column	Name	(a17)	Common name (group or brightest)	[ucd=meta.id]
#Column	RAJ2000	(A8)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A8)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	Size	(F4.1)	Long dimension of Arp's original photo	[ucd=phys.angSize]
#Column	Orient	(A1)	[N,S,E,W,?] Orientation of Arp photo	[ucd=meta.note]
#Column	fl_245	(I3)	?Focal length for CB245 CCD Camera (1)	[ucd=instr.tel.focalLength]
#Column	fl_ST6	(I3)	?Focal length for SBIG ST6 CCD Camera (1)	[ucd=instr.tel.focalLength]
#Column	fl_ST5	(I3)	?Focal length for SBIG ST5 CCD Camera (1)	[ucd=instr.tel.focalLength]
#Column	APG	(A3)	Values from the original Arp's catalog of Peculiar Galaxies (Arp 1966, Cat. VII/74)	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref]
Arp|Name|RAJ2000|DEJ2000|Size|Orient|fl_245|fl_ST6|fl_ST5|APG|Simbad|NED
311|IC 1260         |15.7| |    |    | |              |   |17 27 31.6|+58 28 33|Simbad|NED
311|KAZ 140         |15.8| | 0.6| 0.5| |              |   |17 27 31.7|+58 28 33|Simbad|NED
 38|NGC 6412        |11.7| | 2.5| 2.2| |SAS5          | 12|17 29 36.2|+75 42 17|Simbad|NED
 81|NGC 6621        |12.8| | 2.1| 0.8| |Sb: pec       | 30|18 12 54.6|+68 21 50|Simbad|NED
 81|NGC 6622        |15.3| | 0.5| 0.4| |              | 30|18 13 00.1|+68 21 12|Simbad|NED
 29|NGC 6946        | 8.8| |11.6| 9.9| |SAB(rs)cd     | 32|20 34 52.2|+60 09 14|Simbad|NED
325|ESO 601- G 018  |18.1| | 1.7| 0.7| |              |   |22 06 22.2|-21 04 21|Simbad|NED
325|ESO 601- G 018  |17.9| |    |    | |              |   |22 06 23.2|-21 04 39|Simbad|NED
325|ESO 601- G 018  |16.1| |    |    | |              |   |22 06 24.2|-21 04 45|Simbad|NED
169|NGC 7236        |13.0| | 0.7| 0.7| |SA0-          |212|22 14 45.0|+13 50 46|Simbad|NED
169|NGC 7237        |13.6| | 0.7| 0.7| |SA0-          |212|22 14 46.9|+13 50 26|Simbad|NED
278|NGC 7253A       |13.6| | 1.7| 0.5| |SB?           |122|22 19 26.2|+29 23 53|Simbad|NED
278|NGC 7253B       |14.2| | 1.6| 0.5| |S?            |122|22 19 29.0|+29 23 11|Simbad|NED
226|NGC 7252        |11.4| | 2.0| 1.6| |SAB0^0? pec   |347|22 20 44.8|-24 40 43|Simbad|NED
 93|NGC 7284        |11.9| | 2.1| 1.5| |SB(s)0^0 pec  |347|22 28 36.0|-24 50 39|Simbad|NED
 93|NGC 7285        |11.9| | 2.4| 1.4| |SB(rs)a pec   |347|22 28 38.0|-24 50 27|Simbad|NED
 14|NGC 7314        |10.9| | 4.6| 2.1| |SAB(rs)c: II  |347|22 35 45.7|-26 03 03|Simbad|NED
319|NGC 7317        |13.6| | 1.1| 1.1|?|E4            |123|22 35 51.9|+33 56 41|Simbad|NED
319|NGC 7318A       |13.4| | 0.9|    | |E2 pec        |123|22 35 56.7|+33 57 56|Simbad|NED
319|NGC 7318B       |13.4| | 1.9| 1.2| |E2            |123|22 35 58.4|+33 57 58|Simbad|NED
319|NGC 7319        |13.1| | 1.7| 1.3| |SB(s)bc pec   |123|22 36 03.5|+33 58 33|Simbad|NED
319|NGC 7320        |12.6| | 2.2| 1.1| |SA(s)d        |123|22 36 04.1|+33 56 41|Simbad|NED
  3|MCG-01-57-016   |13.4| | 2.5| 2.1| |SA(s)m        |   |22 36 34.0|-02 54 19|Simbad|NED
 15|NGC 7393        |12.6| | 2.0| 0.9| |SAB?(r:)b?    |258|22 51 39.3|-05 33 28|Simbad|NED
110|MCG-03-58-011   |15.9| | 0.7| 0.6| |S             |   |22 54 08.8|-15 14 14|Simbad|NED
314|MCG-01-58-009   |13.7| | 1.1| 0.9|?|(R')SA(s)bc:  |   |22 58 01.0|-03 46 08|Simbad|NED
314|MCG-01-58-010   |13.8| | 1.3| 1.1|?|SB(rs)cd: pec |   |22 58 07.0|-03 47 23|Simbad|NED
314|MCG-01-58-011   |16.0| | 1.1| 0.9|?|(R')SB(s)dm p |   |22 58 11.0|-03 48 55|Simbad|NED
 13|NGC 7448        |11.6| | 2.7| 1.2| |SA(rs)bc      |213|23 00 02.4|+15 59 22|Simbad|NED
298|NGC 7469        |12.3| | 1.5| 1.1| |(R')SAB(rs)a  |213|23 03 15.6|+08 52 26|Simbad|NED
298|IC 5283         |13.8| | 0.8| 0.4| |SA(r)cd pec?  |213|23 03 18.1|+08 53 36|Simbad|NED
 99|NGC 7547        |13.7| | 1.1| 0.5| |(R')SAB(s)0/a:|168|23 15 03.6|+18 58 23|Simbad|NED
 99|NGC 7550        |12.2| | 1.4| 1.2| |SA0-          |168|23 15 16.0|+18 57 41|Simbad|NED
 99|NGC 7549        |13.0| | 2.8| 0.7| |SB(s)cd pec   |168|23 15 17.2|+19 02 30|Simbad|NED
170|NGC 7578A       |13.8| | 1.4|    | |S0^0 pec      |169|23 17 11.9|+18 42 03|Simbad|NED
170|NGC 7578B       |13.8| | 1.1|    | |E1            |169|23 17 13.4|+18 42 28|Simbad|NED
223|NGC 7585        |11.4| | 2.3| 2.0| |SA?0^0 pec    |259|23 18 02.1|-04 38 56|Simbad|NED
 92|NGC 7603        |13.2| | 1.6| 1.0| |SA(rs)0+: pec |259|23 18 56.6|+00 14 38|Simbad|NED
150|NGC 7609        |14.1| | 1.3| 1.1| |Pec           |214|23 19 29.9|+09 30 29|Simbad|NED
150|NGC 7609A       |15.0| |    |    | |Sc irr        |   |23 19 31.0|+09 30 10|Simbad|NED
212|NGC 7625        |12.1| | 1.6| 1.5| |SA(rs)a pec   |169|23 20 30.0|+17 13 32|Simbad|NED
182|NGC 7674        |13.2| | 1.1| 1.0| |SA(r)bc pec   |214|23 27 56.7|+08 46 45|Simbad|NED
182|UGC 12608       |13.6| | 0.2| 0.2| |SBb           |   |23 27 58.8|+08 46 58|Simbad|NED
 28|NGC 7678        |11.8| | 2.4| 1.7| |SAB(rs)c I-II |169|23 28 27.8|+22 25 16|Simbad|NED
216|NGC 7679        |12.9| | 1.4| 0.9| |(R':)Sc? pec  |259|23 28 46.8|+03 30 41|Simbad|NED
216|NGC 7682        |13.2| | 1.2| 1.1| |SB(r)a: pec   |259|23 29 03.9|+03 32 00|Simbad|NED
 46|UGC 12665       |15.0| | 1.2| 0.9| |SBT7P         |   |23 33 41.1|+30 02 35|Simbad|NED
284|NGC 7714        |12.5| | 1.9| 1.4| |SB:(s)b? pec  |259|23 36 14.1|+02 09 18|Simbad|NED
284|NGC 7715        |14.2| | 2.6| 0.5| |Sa? pec sp    |259|23 36 22.0|+02 09 24|Simbad|NED
222|NGC 7727        |10.6| | 4.7| 3.6| |SAB:(s?)0/a p |260|23 39 54.2|-12 17 31|Simbad|NED
295|MCG-01-60-021   |14.5| | 1.9| 0.3| |Sc            |   |23 41 47.9|-03 40 37|Simbad|NED
295|ARP 295         |14.6| | 0.9| 0.5|?|Sb pec        |   |23 42 04.1|-03 35 21|Simbad|NED
 86|NGC 7752        |14.3| | 0.8| 0.5|?|I0:           | 89|23 46 58.5|+29 27 32|Simbad|NED
 86|NGC 7753        |12.0| | 3.3| 2.1| |SAB(rs)bc I   | 89|23 47 04.7|+29 29 01|Simbad|NED
 68|NGC 7757        |12.7| | 2.5| 1.8| |SAB(rs)c      |215|23 48 45.1|+04 10 24|Simbad|NED
323|NGC 7783        |13.0| | 1.3| 0.6| |S0^0: sp      |215|23 54 10.0|+00 22 58|Simbad|NED
323|NGC 7783B       |14.0| | 0.4| 0.3| |S0            |215|23 54 12.0|+00 22 38|Simbad|NED
262|MCG+03-01-003   |14.6| | 0.5| 0.4| |S             |125|23 56 43.8|+16 48 27|Simbad|NED
262|UGC 12856       |13.2| | 2.4|    | |IB(s)m        |125|23 56 44.9|+16 48 45|Simbad|NED
 50|IC 1520         |14.0| | 0.5| 0.5| |              |   |23 57 58.0|-14 01 48|Simbad|NED

